username,likes,comments,text,hashtags,date
companhiadasletras,530,10,"MICHEL LAUB RESPONDE: PRA QUE SERVE A LITERATURA? ⚡️

Misturando intolerância e generosidade, o protagonista de ""PASSEIO COM O GIGANTE"" apresenta juízos bem particulares diante de temas como a eleição no Brasil, a ascensão evangélica, o antissemitismo e o Oriente Médio. Mas o que pode a literatura diante do noticiário? Um livro muda o mundo? Neste vídeo, Michel Laub (@michellaub), um dos principais nomes da literatura brasileira atual, comenta o tema.

📚 Sobre o livro:
Enquanto caminha por um hospital onde fantasia e realidade se misturam, com as palavras do passado surgindo em fragmentos que iluminam a ação presente, Davi Rieseman, um advogado ligado à causa sionista, é confrontado por um misterioso coro de vozes, num diálogo que o faz reviver um trauma e um dilema ligados a brigas envolvendo judeus seculares e religiosos, progressistas e conservadores, embebidos na cultura diaspórica da dúvida e nas convicções militaristas da política israelense.

A ironia do romance, com seu choque de visões construído em diferentes vozes, tempos e tons, guia uma tentativa humanista de lidar com um cenário pós-pandemia, em que a memória dos mortos deu lugar ao pragmatismo cínico e às guerras. É um caminho tortuoso, mas também feito de esperança. Afinal, entre ""palavras de choro ou riso"", o mundo surgido no desfecho do livro é aquele onde precisaremos viver todos ― culpados ou inocentes nesse grande acerto de contas com a história.

🎨 Capa de Raul Loureiro

#passeiocomogigante #michellaub #literatura #literaturanacional #diáriodaqueda #literaturabrasileiraviva","['passeiocomogigante', 'michellaub', 'literatura', 'literaturanacional', 'diáriodaqueda', 'literaturabrasileiraviva']",2024-05-20 23:01:04
companhiadasletras,3615,56,"📖 COM “BRÁS CUBAS”, MACHADO ESTÁ NOS ENSINANDO A LER

A edição bolso de luxo de “MEMÓRIAS PÓSTUMAS DE BRÁS CUBAS”, de Machado de Assis, é a estreia da literatura brasileira neste formato da coleção #ClássicosZahar e conta com um posfácio exclusivo de Flora Thomson-DeVeaux, pesquisadora e tradutora da edição inglesa do livro.

No vídeo, @floratd debate sobre a atualidade deste marco da literatura brasileira, que segue arrebatando novos leitores no Brasil e no exterior, como visto em postagem viralizada recentemente, que mostra uma influenciadora norte-americana encantada após sua primeira vez lendo a obra (na versão traduzida por Flora Thomson-DeVeaux), a qual chamou de “o melhor livro já escrito na face da terra”.

🪦 Em “Memórias póstumas de Brás Cubas”, Machado de Assis faz um corte radical tanto com sua obra anterior, quanto com a produção literária brasileira até o momento. Surpreendendo leitores e crítica de seu tempo, o livro traz as lembranças fragmentárias de um improvável narrador defunto que, depois de morto, decide celebrar o grande fracasso que foi a sua vida.

Este, que é um dos romances brasileiros mais importantes e reconhecidos internacionalmente, na edição impecável da coleção #ClássicosZahar, já está disponível em versão física e e-book. Garanta seu exemplar!

➡️ O livro também conta com apresentação de @ogeovanimartins, autor de “O sol na cabeça” e “Via Ápia”, e projeto gráfico de @rafaelnobrestudio. A edição física possui ainda acabamento de luxo em capa dura.

#memoriapostumasdebrascubas #brascubas #machadodeassis #florathomsondeveaux #editorazahar #classicoszahar #literaturabrasileira #classicobrasileiro","['ClássicosZahar', 'ClássicosZahar', 'memoriapostumasdebrascubas', 'brascubas', 'machadodeassis', 'florathomsondeveaux', 'editorazahar', 'classicoszahar', 'literaturabrasileira', 'classicobrasileiro']",2024-05-20 20:29:53
companhiadasletras,300,4,"""MULHER, VIDA, LIBERDADE"" + 3 OBRAS PARA CONHECER MARJANE SATRAPI ⚡️ 

Em 13 de setembro de 2022, Mahsa Amini, estudante iraniana de vinte e dois anos, foi detida e espancada até à morte pela polícia religiosa em Teerã. O seu crime? Não usar de maneira ""correta"" o hijab, véu imposto às mulheres pela República Islâmica. Não tardou, porém, para que o triste destino desta jovem desencadeasse uma onda de protestos sem precedentes, cujo lema, ""mulher, vida, liberdade"", se espalhou como pólvora pelo país.

Por ocasião do primeiro aniversário do movimento, Marjane Satrapi reuniu uma série de artistas e especialistas para narrar os detalhes desta história. Na galeria, confira ""MULHER, VIDA, LIBERDADE"" + três livros para se aprofundar na obra de Marjane Satrapi:

📚 MULHER, VIDA, LIBERDADE (trad. Julia da Rosa Simões)
📚 PERSÉPOLIS (trad. Paulo Werneck)
📚 FRANGO COM AMEIXAS (trad. Paulo Werneck)
📚 BORDADOS (trad. Paulo Werneck)

#marjanesatrapi #quadrinhosnacia #literatura #literaturacontemporânea #mulhervidaliberdade #frangocomameixas #persépolis #bordados","['marjanesatrapi', 'quadrinhosnacia', 'literatura', 'literaturacontemporânea', 'mulhervidaliberdade', 'frangocomameixas', 'persépolis', 'bordados']",2024-05-20 15:00:40
companhiadasletras,582,16,"EM JULHO: ""GUERRA"", DE LOUIS-FERDINAND CÉLINE 📚

Neste romance inédito situado entre a autobiografia e a fabulação, Céline examina a experiência central da sua existência: o trauma da guerra.

📚 Lançamento: 02/07 
Já em pré-venda: link nos destaques.

📚 Sinopse:
Escrito cerca de dois anos depois da publicação de ""Viagem ao fim da noite"" e inédito até 2022, ""Guerra"" narra a recuperação de Ferdinand, um combatente ferido durante a Primeira Guerra Mundial. Após ter o braço gravemente ferido no campo de batalha, o cabo retoma a consciência num cenário sanguinolento em que jazem os cadáveres de seus companheiros.

Dias depois, é levado ao hospital de Peurdu-sur-la-Lys, onde se relaciona com uma série de personagens, como a enfermeira L'Espinasse e o cafetão Bébert. Da internação à fuga para Londres, acompanhamos um homem em constante embate com os impactos físicos e mentais da guerra.

Esta edição inclui introdução de François Gibault, imagens do manuscrito original, uma análise que situa ""Guerra"" na produção literária de Céline, lista de personagens e notas explicativas de Pascal Fouché, que ficou a cargo da edição do volume.

📝 Tradução de Rosa Freire d'Aguiar

#guerra #louisferdinandceline #literatura #prévenda #nãoficção","['guerra', 'louisferdinandceline', 'literatura', 'prévenda', 'nãoficção']",2024-05-20 11:00:26
companhiadasletras,425,2,"LIBERTE A GERAÇÃO ANSIOSA ⚡️

Best-seller do New York Times desde seu lançamento, “A GERAÇÃO ANSIOSA”, do psicólogo social Jonathan Haidt (@jonathanhaidt), mostra o que podemos fazer na prática para reverter a situação e evitar danos psicológicos ainda mais profundos. Já em pré-venda: link nos destaques!

🔔 Lançamento: 16/07

📚 Sobre o livro:
“A GERAÇÃO ANSIOSA” demonstra como a ‘infância baseada no brincar’ entrou em declínio na década de 1980 e foi substituída pela ‘infância baseada no celular’, acompanhada por uma hiperconectividade que alterou o desenvolvimento social e neurológico dos jovens e tem causado privação de sono, privação social, fragmentação da atenção e vício. 

Diante desse cenário catastrófico, Jonathan Haidt mostra o que pais, professores, escolas, empresas de tecnologia e governos podem fazer na prática para reverter a situação e evitar danos psicológicos ainda mais profundos. Um plano de ação que não podemos nos dar ao luxo de ignorar, porque o que está em jogo não é apenas o bem-estar de nossas crianças, mas da sociedade como um todo.

📝 Tradução de Lígia Azevedo

🎨 Capa de Eduardo Foresti - @foresti_design

#companhiadasletras #jonathanhaidt #ageraçãoansiosa #freetheanxiousgeneration @freetheanxiousgeneration #theanxiousgeneration #psicologiasocial #liberteageracaoansiosa","['companhiadasletras', 'jonathanhaidt', 'ageraçãoansiosa', 'freetheanxiousgeneration', 'theanxiousgeneration', 'psicologiasocial', 'liberteageracaoansiosa']",2024-05-19 23:10:00
companhiadasletras,999,15,"DE UMA DAS MAIS SURPREENDENTES VOZES DA NOVA GERAÇÃO DE ESCRITORAS LATINO-AMERICANAS

Primeira mulher em uma linhagem de curandeiros homens, Feliciana é conhecida dentro e fora do México por seus feitos prodigiosos. Ricos, pobres, famosos, pessoas comuns – adoecidos de toda sorte peregrinam até o povoado de San Felipe na esperança de se verem livres de suas enfermidades. No entanto, quando é informada do assassinato de sua mentora Paloma, repentinamente Feliciana perde seus poderes.

O caso chama a atenção de Zoé, jornalista que vive na metrópole mexicana. Interessada em compreender o assassinato de Paloma e, ao mesmo tempo, curiosa para conhecer Feliciana, Zoé decide entrevistá-la para o jornal onde trabalha.

Ao aproximar essas duas vozes tão singulares com sua prosa impecável, Brenda Lozano cria uma reflexão profunda acerca de tradições ancestrais, das pequenas subversões do dia a dia e, sobretudo, do poder arrebatador da linguagem.
📚 ""BRUXAS"" já está disponível online e nas livrarias de todo o país. Boa leitura! 

📝 Tradução de Silvia Massimini Felix

🎨 Capa de Elisa von Randow (@elisavonrandow) com arte de Jimena Estíbaliz

#bruxas #brendalozano #literatura #literaturacontemporânea #literaturamexicana #americalatina","['bruxas', 'brendalozano', 'literatura', 'literaturacontemporânea', 'literaturamexicana', 'americalatina']",2024-05-19 21:00:33
companhiadasletras,222,2,"RAPHAEL MONTES CONHECE OS PRÓPRIOS LIVROS? 👶

Você saberia reconhecer um cena de tensão do mestre do suspense nacional? Neste vídeo, Raphael Montes (@raphael_montes) passa por um desafio da nossa equipe: separamos alguns trechos dos seus próprios livros e testamos se ele reconhece! Será que ele se saiu bem?

📚 RAPHAEL MONTES nasceu em 1990, no Rio de Janeiro. Escreveu os romances ""Suicidas"", ""Dias perfeitos"", ""O vilarejo"", ""Jantar secreto"" e ""Uma mulher no escuro"" (vencedor do prêmio Jabuti), além do infantojuvenil ""A mágica mortal"", sucessos de público e de crítica, traduzidos em mais de 25 países. 

Seu lançamento mais recente é o suspense psicológico ""Uma família feliz"", história original que virou um filme estrelado por Grazi Massafera e Reynaldo Gianecchini, com direção de José Eduardo Belmonte. Leia antes de assistir!

#companhiadasletras #literaturabrasileira #thrillerpsicológico #umafamíliafeliz #raphaelmontes #suicidas #diasperfeitos #ovilarejo #jantarsecreto #umamulhernoescuro #amágicamortal","['companhiadasletras', 'literaturabrasileira', 'thrillerpsicológico', 'umafamíliafeliz', 'raphaelmontes', 'suicidas', 'diasperfeitos', 'ovilarejo', 'jantarsecreto', 'umamulhernoescuro', 'amágicamortal']",2024-05-19 15:02:28
companhiadasletras,654,1,"LEMINKSI, 80 ANOS ⚡️

💬 “sossegue coração/ ainda não é agora/ a confusão prossegue/ sonhos a fora”

Em 2024, o poeta, romancista, tradutor, compositor, biógrafo e ensaísta Paulo Leminski completaria 80 anos. Um dos poetas brasileiros mais lidos das últimas décadas, Leminski nasceu em Curitiba (PR), em 1944. Teve composições gravadas por artistas como Caetano Veloso, Ney Matogrosso, Arnaldo Antunes e Itamar Assumpção. Faleceu em 1989, aos 44 anos. 
⠀⠀⠀⠀⠀⠀⠀⠀
Em “sete assuntos por segundo”, presente no livro “Toda poesia”, Leminski tece um convite para que respiremos em meio à turbulência – assim como a própria poesia, que nos exige atenção e calma na leitura de seus versos. Confira o poema completo na foto. 
⠀⠀⠀⠀⠀⠀⠀⠀
#leminski #leminski80anos #todapoesia #poesianacompanhia #espalhepoesia #companhiadasletras","['leminski', 'leminski80anos', 'todapoesia', 'poesianacompanhia', 'espalhepoesia', 'companhiadasletras']",2024-05-19 13:00:21
companhiadasletras,1021,36,"EM JULHO: ""AMERICANAH (EDIÇÃO COMEMORATIVA DE 10 ANOS)"", DE CHIMAMANDA NGOZI ADICHIE 📚

Depois de dez anos da primeira publicação no Brasil, o best-seller internacional de Chimamanda Ngozi Adichie ganha edição comemorativa limitada, com introdução inédita da autora. Bem-humorado, sagaz e implacável, conjugando o melhor dos grandes romances e da crítica social, ""Americanah"" é um épico da contemporaneidade.

📚 Lançamento: 10/07 
Já em pré-venda: link nos destaques.

📚 Sinopse:
""Ser negra na América era me sentir atropelada pelo peso da História e dos estereótipos, saber que a raça sempre era uma razão, causa ou explicação possível para as grandes e pequenas interações que compõem nossas frágeis vidas"", é o que diz Chimamanda Ngozi Adichie na introdução a esta edição de ""Americanah"".

Lançado pela primeira vez no Brasil em 2014, o livro logo se destacou com a comovente história de Ifemelu e Obinze, dois jovens apaixonados que, em busca de um futuro melhor fora da Nigéria, tomam rumos diferentes: ela parte para os Estados Unidos, onde, apesar do seu sucesso social e acadêmico, é forçada a lidar pela primeira vez com o que significa ser negra naquele país; ele se muda para a Inglaterra, mas diante de uma série de problemas é deportado e volta para Lagos, onde se casa e conquista a desejada estabilidade social.

Uma das mais importantes autoras nigerianas do século XXI, Chimamanda Ngozi Adichie parte de uma história de amor arrebatadora para debater questões prementes e universais como imigração, preconceito racial e desigualdade de gênero.

💬 ""Um épico intergeracional que confirma a virtuosidade de Adichie, sua empatia sem limites e a acuidade de sua crítica social."" – Dave Eggers

📝 Tradução de Julia Romeu 

🎨 Capa de Claudia Espínola de Carvalho

#americanah #chimamanda #chimamandangoziadichie #literatura #prévenda #literaturacontemporânea","['americanah', 'chimamanda', 'chimamandangoziadichie', 'literatura', 'prévenda', 'literaturacontemporânea']",2024-05-19 11:00:35
companhiadasletras,164,2,"O PROCESSO CRIATIVO DE ""O PACTO DA ÁGUA"" ✨

Abraham Verghese pensa nas pesquisas para um livro como uma desculpa que o permite sentir que está fazendo algo relevante mesmo quando não está escrevendo. No seu caso, pesquisar também é desenhar (na lousa, no papel ou com aquarelas). Não é algo que ponha palavras no papel, mas o relaxa. 

⚡ No Blog da Companhia, o autor de ""O DÉCIMO PRIMEIRO MANDAMENTO"" abre o processo criativo de ""O PACTO DA ÁGUA"", seu novo romance, que demorou dez anos para ser escrito. Leia em blogdacompanhia.com.br 

📚 Sobre o livro:
Abrangendo os anos de 1900 a 1977, ""O PACTO DA ÁGUA"" se passa em Kerala, na costa de Malabar, no sul da Índia, e acompanha uma família que sofre de um mal: em cada uma das três gerações, pelo menos uma pessoa morre afogada ― e naquela região há água por toda parte. A narrativa começa com uma menina de doze anos, enviada para seu casamento com um homem de quarenta anos. A jovem ― e futura matriarca, conhecida como Grande Ammachi ― testemunhará uma série de mudanças ao longo de sua vida, marcada por alegrias, triunfos, reviravoltas, dificuldades e perdas.

📝 Tradução de Odorico Leal

🎨 Capa de Victor Burton com arte de Amadeo Luciano Lorenzato

🖌 Ilustrações de Thomas Varghese

#opactodaágua #abrahamverghese #literatura #literaturacontemporânea #odécimoprimeiromandamento","['opactodaágua', 'abrahamverghese', 'literatura', 'literaturacontemporânea', 'odécimoprimeiromandamento']",2024-05-19 01:00:23
